"Type","Model","N","Median","Upper","Lower"
"Closed form","F-diffusion",150,0.029939236,0.0374938467,0.0255105221
"Closed form","F-diffusion",1500,0.2562464565,0.3061425578,0.208011765
"Closed form","F-diffusion",4500,1.4692010365,2.2256959549,0.7317375706
"Closed form","F-diffusion",15000,2.367546242,7.7252407167,1.9072675959
"Closed form","F-diffusion",30000,4.555121583,11.1210943266,3.958467727
"Numerical","F-diffusion",150,0.0510183605,0.067171217,0.0397706394
"Numerical","F-diffusion",1500,0.25260093,0.316804045,0.1576388178
"Numerical","F-diffusion",4500,0.836182522,1.692601588,0.2819629481
"Numerical","F-diffusion",15000,1.1594578535,2.4511634638,0.8723459638
"Numerical","F-diffusion",30000,2.337587864,3.6125918794,1.7585436627
"Closed form","Linear",150,0.0119696105,0.0194873669,0.0076887646
"Closed form","Linear",1500,0.0705888155,0.112464186,0.0425142843
"Closed form","Linear",4500,0.1890013425,0.2588487129,0.1203962456
"Closed form","Linear",15000,0.496162503,0.7793865049,0.3946038505
"Closed form","Linear",30000,0.965705213,1.5829987438,0.7280219319
"Numerical","Linear",150,0.03991991,0.052542569,0.0292255091
"Numerical","Linear",1500,0.1309000705,0.1800328248,0.0574209125
"Numerical","Linear",4500,0.4138499435,0.6188685972,0.1161603907
"Numerical","Linear",15000,0.433772681,0.9120696352,0.361299174
"Numerical","Linear",30000,0.9360451165,1.8745208263,0.7098431437
