"delta","Model","Type","Method","Parameter","ARE"
0.2,"Additive","Likelihood","MLE","alpha0",0.201014129823873
0.2,"Additive","Likelihood","MLE","mu0",0.0143523510955849
0.2,"Additive","Likelihood","MLE","sigma",0.0455727816021206
0.2,"Additive","Likelihood","MLE","running_time",0.001772648
0.1,"Additive","Likelihood","MLE","alpha0",0.188286516946063
0.1,"Additive","Likelihood","MLE","mu0",0.0122393287322161
0.1,"Additive","Likelihood","MLE","sigma",0.0270180815137733
0.1,"Additive","Likelihood","MLE","running_time",0.0019724675
0.04,"Additive","Likelihood","MLE","alpha0",0.159241827440483
0.04,"Additive","Likelihood","MLE","mu0",0.0178531365621695
0.04,"Additive","Likelihood","MLE","sigma",0.0191096625862994
0.04,"Additive","Likelihood","MLE","running_time",0.002825751
0.01,"Additive","Likelihood","MLE","alpha0",0.192006983920146
0.01,"Additive","Likelihood","MLE","mu0",0.0192504925533893
0.01,"Additive","Likelihood","MLE","sigma",0.00834203719600426
0.01,"Additive","Likelihood","MLE","running_time",0.007392044
0.004,"Additive","Likelihood","MLE","alpha0",0.181159060516802
0.004,"Additive","Likelihood","MLE","mu0",0.0141422511490437
0.004,"Additive","Likelihood","MLE","sigma",0.00519590674682893
0.004,"Additive","Likelihood","MLE","running_time",0.0170210725
0.2,"Additive","Estimation eq.","Score","alpha0",0.371488332296019
0.2,"Additive","Estimation eq.","Score","mu0",0.0172694974832977
0.2,"Additive","Estimation eq.","Score","sigma",0.0517014851059779
0.2,"Additive","Estimation eq.","Score","running_time",0.000746466
0.1,"Additive","Estimation eq.","Score","alpha0",0.246490701291704
0.1,"Additive","Estimation eq.","Score","mu0",0.0189994853130269
0.1,"Additive","Estimation eq.","Score","sigma",0.0376876683758416
0.1,"Additive","Estimation eq.","Score","running_time",0.000814885
0.04,"Additive","Estimation eq.","Score","alpha0",0.16756974708708
0.04,"Additive","Estimation eq.","Score","mu0",0.0188982504706425
0.04,"Additive","Estimation eq.","Score","sigma",0.0164096300412794
0.04,"Additive","Estimation eq.","Score","running_time",0.001040005
0.01,"Additive","Estimation eq.","Score","alpha0",0.19761842564142
