"Model","N","nu","Error_count","error_proportion"
"Additive",396,"0.75",2,0.0384615384615385
"Additive",396,"0.9",16,0.242424242424242
"Additive",396,"1",11,0.180327868852459
"Additive",396,"1.11",36,0.418604651162791
"Additive",396,"1.33",168,0.770642201834862
"Additive",660,"0.75",3,0.0566037735849057
"Additive",660,"0.9",12,0.193548387096774
"Additive",660,"1",20,0.285714285714286
"Additive",660,"1.11",47,0.484536082474227
"Additive",660,"1.33",84,0.626865671641791
"Additive",3300,"0.75",7,0.12280701754386
"Additive",3300,"0.9",14,0.21875
"Additive",3300,"1",27,0.350649350649351
"Additive",3300,"1.11",45,0.473684210526316
"Additive",3300,"1.33",115,0.696969696969697
"Additive",6600,"0.75",3,0.0566037735849057
"Additive",6600,"0.9",24,0.324324324324324
"Additive",6600,"1",42,0.456521739130435
"Additive",6600,"1.11",88,0.63768115942029
"Additive",6600,"1.33",160,0.761904761904762
"Additive",13200,"0.75",5,0.0909090909090909
"Additive",13200,"0.9",21,0.295774647887324
"Additive",13200,"1",20,0.285714285714286
"Additive",13200,"1.11",54,0.519230769230769
"Additive",13200,"1.33",145,0.743589743589744
"t-diffusion",396,"0.75",40,0.444444444444444
"t-diffusion",396,"0.9",51,0.504950495049505
"t-diffusion",396,"1",49,0.494949494949495
"t-diffusion",396,"1.11",65,0.565217391304348
"t-diffusion",396,"1.33",168,0.770642201834862
"t-diffusion",660,"0.75",14,0.21875
"t-diffusion",660,"0.9",34,0.404761904761905
"t-diffusion",660,"1",49,0.494949494949495
"t-diffusion",660,"1.11",55,0.523809523809524
"t-diffusion",660,"1.33",51,0.504950495049505
"t-diffusion",3300,"0.75",37,0.425287356321839
"t-diffusion",3300,"0.9",43,0.462365591397849
"t-diffusion",3300,"1",38,0.431818181818182
"t-diffusion",3300,"1.11",52,0.509803921568627
"t-diffusion",3300,"1.33",76,0.603174603174603
"t-diffusion",6600,"0.75",33,0.397590361445783
"t-diffusion",6600,"0.9",36,0.418604651162791
"t-diffusion",6600,"1",61,0.54954954954955
"t-diffusion",6600,"1.11",90,0.642857142857143
"t-diffusion",6600,"1.33",120,0.705882352941177
"t-diffusion",13200,"0.75",30,0.375
"t-diffusion",13200,"0.9",35,0.411764705882353
"t-diffusion",13200,"1",32,0.390243902439024
"t-diffusion",13200,"1.11",43,0.462365591397849
"t-diffusion",13200,"1.33",105,0.67741935483871
"Both",396,"0.75",1,0.0196078431372549
"Both",396,"0.9",9,0.152542372881356
"Both",396,"1",7,0.12280701754386
"Both",396,"1.11",16,0.242424242424242
"Both",396,"1.33",92,0.647887323943662
"Both",660,"0.75",0,0
"Both",660,"0.9",8,0.137931034482759
"Both",660,"1",10,0.166666666666667
"Both",660,"1.11",22,0.305555555555556
"Both",660,"1.33",33,0.397590361445783
"Both",3300,"0.75",4,0.0740740740740741
"Both",3300,"0.9",6,0.107142857142857
"Both",3300,"1",19,0.27536231884058
"Both",3300,"1.11",20,0.285714285714286
"Both",3300,"1.33",47,0.484536082474227
"Both",6600,"0.75",1,0.0196078431372549
"Both",6600,"0.9",9,0.152542372881356
"Both",6600,"1",25,0.333333333333333
"Both",6600,"1.11",50,0.5
"Both",6600,"1.33",78,0.609375
"Both",13200,"0.75",4,0.0740740740740741
"Both",13200,"0.9",6,0.107142857142857
"Both",13200,"1",7,0.12280701754386
"Both",13200,"1.11",19,0.27536231884058
"Both",13200,"1.33",65,0.565217391304348
