"Model","N","nu","Error_count","error_proportion"
"Additive",396,"0.75",0,0
"Additive",396,"0.9",0,0
"Additive",396,"1",0,0
"Additive",396,"1.11",0,0
"Additive",396,"1.33",0,0
"Additive",660,"0.75",0,0
"Additive",660,"0.9",0,0
"Additive",660,"1",0,0
"Additive",660,"1.11",1,0.00497512437810945
"Additive",660,"1.33",8,0.0384615384615385
"Additive",3300,"0.75",0,0
"Additive",3300,"0.9",0,0
"Additive",3300,"1",0,0
"Additive",3300,"1.11",0,0
"Additive",3300,"1.33",3,0.0147783251231527
"Additive",6600,"0.75",0,0
"Additive",6600,"0.9",0,0
"Additive",6600,"1",1,0.00497512437810945
"Additive",6600,"1.11",1,0.00497512437810945
"Additive",6600,"1.33",13,0.0610328638497653
"Additive",13200,"0.75",0,0
"Additive",13200,"0.9",0,0
"Additive",13200,"1",0,0
"Additive",13200,"1.11",2,0.0099009900990099
"Additive",13200,"1.33",4,0.0196078431372549
"t-diffusion",396,"0.75",3,0.0147783251231527
"t-diffusion",396,"0.9",0,0
"t-diffusion",396,"1",0,0
"t-diffusion",396,"1.11",0,0
"t-diffusion",396,"1.33",6,0.029126213592233
"t-diffusion",660,"0.75",6,0.029126213592233
"t-diffusion",660,"0.9",4,0.0196078431372549
"t-diffusion",660,"1",2,0.0099009900990099
"t-diffusion",660,"1.11",0,0
"t-diffusion",660,"1.33",2,0.0099009900990099
"t-diffusion",3300,"0.75",0,0
"t-diffusion",3300,"0.9",0,0
"t-diffusion",3300,"1",0,0
"t-diffusion",3300,"1.11",0,0
"t-diffusion",3300,"1.33",1,0.00497512437810945
"t-diffusion",6600,"0.75",14,0.0654205607476635
"t-diffusion",6600,"0.9",10,0.0476190476190476
"t-diffusion",6600,"1",9,0.0430622009569378
"t-diffusion",6600,"1.11",13,0.0610328638497653
"t-diffusion",6600,"1.33",10,0.0476190476190476
"t-diffusion",13200,"0.75",0,0
"t-diffusion",13200,"0.9",0,0
"t-diffusion",13200,"1",0,0
"t-diffusion",13200,"1.11",1,0.00497512437810945
"t-diffusion",13200,"1.33",1,0.00497512437810945
"Both",396,"0.75",0,0
"Both",396,"0.9",0,0
"Both",396,"1",0,0
"Both",396,"1.11",0,0
"Both",396,"1.33",0,0
"Both",660,"0.75",0,0
"Both",660,"0.9",0,0
"Both",660,"1",0,0
"Both",660,"1.11",0,0
"Both",660,"1.33",0,0
"Both",3300,"0.75",0,0
"Both",3300,"0.9",0,0
"Both",3300,"1",0,0
"Both",3300,"1.11",0,0
"Both",3300,"1.33",0,0
"Both",6600,"0.75",0,0
"Both",6600,"0.9",0,0
"Both",6600,"1",0,0
"Both",6600,"1.11",0,0
"Both",6600,"1.33",1,0.00497512437810945
"Both",13200,"0.75",0,0
"Both",13200,"0.9",0,0
"Both",13200,"1",0,0
"Both",13200,"1.11",1,0.00497512437810945
"Both",13200,"1.33",0,0
