"A","alpha_0","lambda_0","m","mu0","sigma","tau","tc"
0.182500860866639,2.11377760627767,-6.12059546950021,-5.47145866232337,0.319685544449153,0.547533231797736,186.196578046253,2135.19657804625
0.231137867337538,2.42159374018083,-6.3426606704814,-4.93649319017695,0.301925265602314,0.571357788302274,152.005325715921,2101.00532571592
0.286500304070399,2.6341742831307,-6.0548575824566,-4.24782944457671,0.34932847411685,0.567158874992047,140.488340385388,2089.48834038539
0.226619698406412,2.12331043825979,-4.97358266837166,-4.39639847841002,0.288345286564714,0.568843906312001,152.025320621325,2101.02532062132
0.340451528767255,2.54594532313114,-4.75973599813422,-3.44203611633732,0.29703553998595,0.584727143859542,133.618741496774,2082.61874149677
0.235913541691855,2.69758035207986,-7.71144770213348,-5.40452755511738,0.312779583621142,0.558137826958586,173.824050399891,2122.82405039989
0.195851164002707,2.32818185447058,-6.91906884379194,-5.60107024429618,0.342682672174618,0.563052733310122,180.755148405922,2129.75514840592
0.22524558325247,2.22939427508525,-5.51642207808796,-4.65709330097116,0.291714668742504,0.577946511825431,156.304249714863,2105.30424971486
0.2920210098657,2.59459512712367,-5.76321878072224,-4.16102547873892,0.28145475293503,0.578312273285837,149.156615004804,2098.1566150048
0.290609186828746,2.62358187163165,-5.92133881955565,-4.1695947178116,0.344340131016332,0.574429018263732,135.953665927001,2084.953665927
0.235652650467699,2.70027825419256,-7.73543458517633,-5.41604090521768,0.313320187970384,0.605668633368849,170.022594928055,2119.02259492805
0.365520269600753,2.69662627327374,-4.9735909759895,-3.38356044850781,0.305190213964593,0.574455722366322,128.485984486112,2077.48598448611
0.195342007916426,2.50019897922009,-8.00006486363084,-6.13910012338667,0.260442417124537,0.586912758728864,213.571908556508,2162.57190855651
0.309500432562354,2.54312707161533,-5.2241407619679,-3.76968416482393,0.338754473792467,0.539334824252231,127.90343982074,2076.90343982074
0.202441653875449,2.08728387241466,-5.38025880622723,-4.87355334320061,0.281719379721458,0.564526137049038,171.722551221925,2120.72255122192
0.235496390852502,2.82368913980174,-8.46427022657443,-5.6650512200724,0.330134374025073,0.576293539556591,184.668285135374,2133.66828513537
0.182420081360755,2.20909862361198,-6.68802016263961,-5.73601467019265,0.318961862909684,0.537564197556343,169.924624655544,2118.92462465554
0.230308544185912,2.39966861253848,-6.25075534035986,-4.88521279217369,0.324469334515895,0.574446725849564,152.021897549009,2101.02189754901
0.341073012133845,2.72664430614348,-5.44941178848473,-3.70434014359423,0.292816197045061,0.56591752593665,153.522172940314,2102.52217294031
0.175168747996516,2.03274633571863,-5.89725295270663,-5.44798311099393,0.35426860047877,0.555190000404748,167.462084189654,2116.46208418965
0.182500860866639,2.11377760627767,-6.12059546950021,-5.47145866232337,0.319685544449153,0.547533231797736,186.196578046253,2135.19657804625
0.258021942340343,2.41338090295417,-5.64332565082897,-4.36550775896258,0.311189271266752,0.571128128561909,154.028545748026,2103.02854574803
0.24162640674252,2.67513456285361,-7.40434895532739,-5.19193062769656,0.343752741762849,0.575348920871522,174.902436227366,2123.90243622737
0.358870069972059,2.72630083686142,-5.17786023061912,-3.51002478004175,0.288426337759308,0.571428934759436,140.078344865278,2089.07834486528
0.312756670486851,2.37799192186123,-4.5201638478523,-3.50431262600265,0.297351968647794,0.583866560648461,137.232145563975,2086.23214556398
0.304699888624956,2.6581932156409,-5.79750061902432,-4.05421388692006,0.307771979954954,0.591279703262931,151.495621324325,2100.49562132432
0.285832048404458,2.46144312691708,-5.29918032360927,-4.02688482578345,0.27886594754147,0.555439386734274,136.657056057696,2085.6570560577
