"Model","Type","Method","N","Count"
"F-diffusion","Function","Closed form",150,57
"F-diffusion","Function","Closed form",1500,45
"F-diffusion","Function","Closed form",4500,54
"F-diffusion","Function","Closed form",15000,93
"F-diffusion","Function","Closed form",30000,30
"F-diffusion","Function","Closed form",150,47
"F-diffusion","Function","Closed form",1500,44
"F-diffusion","Function","Closed form",4500,51
"F-diffusion","Function","Closed form",15000,73
"F-diffusion","Function","Closed form",30000,44
"F-diffusion","Function","Closed form",150,47
"F-diffusion","Function","Closed form",1500,39
"F-diffusion","Function","Closed form",4500,71
"F-diffusion","Function","Closed form",15000,73
"F-diffusion","Function","Closed form",30000,49
"F-diffusion","Function","Closed form",150,41
"F-diffusion","Function","Closed form",1500,89
"F-diffusion","Function","Closed form",4500,97
"F-diffusion","Function","Closed form",15000,78
"F-diffusion","Function","Closed form",30000,30
"F-diffusion","Function","Closed form",150,43
"F-diffusion","Function","Closed form",1500,50
"F-diffusion","Function","Closed form",4500,47
"F-diffusion","Function","Closed form",15000,52
"F-diffusion","Function","Closed form",30000,53
"F-diffusion","Function","Closed form",150,38
"F-diffusion","Function","Closed form",1500,76
"F-diffusion","Function","Closed form",4500,47
"F-diffusion","Function","Closed form",15000,57
"F-diffusion","Function","Closed form",30000,49
"F-diffusion","Function","Closed form",150,44
"F-diffusion","Function","Closed form",1500,48
"F-diffusion","Function","Closed form",4500,70
"F-diffusion","Function","Closed form",15000,78
"F-diffusion","Function","Closed form",30000,29
"F-diffusion","Function","Closed form",150,42
"F-diffusion","Function","Closed form",1500,44
"F-diffusion","Function","Closed form",4500,75
"F-diffusion","Function","Closed form",15000,105
"F-diffusion","Function","Closed form",30000,51
"F-diffusion","Function","Closed form",150,50
"F-diffusion","Function","Closed form",1500,72
"F-diffusion","Function","Closed form",4500,68
"F-diffusion","Function","Closed form",15000,110
"F-diffusion","Function","Closed form",30000,54
"F-diffusion","Function","Closed form",150,43
"F-diffusion","Function","Closed form",1500,64
"F-diffusion","Function","Closed form",4500,80
"F-diffusion","Function","Closed form",15000,57
"F-diffusion","Function","Closed form",30000,46
"F-diffusion","Function","Closed form",150,55
"F-diffusion","Function","Closed form",1500,45
"F-diffusion","Function","Closed form",4500,95
"F-diffusion","Function","Closed form",15000,81
"F-diffusion","Function","Closed form",30000,64
"F-diffusion","Function","Closed form",150,52
"F-diffusion","Function","Closed form",1500,48
"F-diffusion","Function","Closed form",4500,77
"F-diffusion","Function","Closed form",15000,111
"F-diffusion","Function","Closed form",30000,73
"F-diffusion","Function","Closed form",150,43
"F-diffusion","Function","Closed form",1500,49
"F-diffusion","Function","Closed form",4500,65
"F-diffusion","Function","Closed form",15000,99
"F-diffusion","Function","Closed form",30000,51
"F-diffusion","Function","Closed form",150,48
"F-diffusion","Function","Closed form",1500,74
"F-diffusion","Function","Closed form",4500,85
"F-diffusion","Function","Closed form",15000,53
"F-diffusion","Function","Closed form",30000,50
"F-diffusion","Function","Closed form",150,43
"F-diffusion","Function","Closed form",1500,54
"F-diffusion","Function","Closed form",4500,62
"F-diffusion","Function","Closed form",15000,82
"F-diffusion","Function","Closed form",30000,59
"F-diffusion","Function","Closed form",150,49
"F-diffusion","Function","Closed form",1500,76
"F-diffusion","Function","Closed form",4500,50
"F-diffusion","Function","Closed form",15000,117
"F-diffusion","Function","Closed form",30000,73
"F-diffusion","Function","Closed form",150,46
"F-diffusion","Function","Closed form",1500,61
"F-diffusion","Function","Closed form",4500,90
"F-diffusion","Function","Closed form",15000,52
"F-diffusion","Function","Closed form",30000,87
"F-diffusion","Function","Closed form",150,51
"F-diffusion","Function","Closed form",1500,53
"F-diffusion","Function","Closed form",4500,66
"F-diffusion","Function","Closed form",15000,98
"F-diffusion","Function","Closed form",30000,52
"F-diffusion","Function","Closed form",150,65
"F-diffusion","Function","Closed form",1500,62
"F-diffusion","Function","Closed form",4500,75
"F-diffusion","Function","Closed form",15000,100
"F-diffusion","Function","Closed form",30000,78
"F-diffusion","Function","Closed form",150,45
"F-diffusion","Function","Closed form",1500,77
"F-diffusion","Function","Closed form",4500,63
"F-diffusion","Function","Closed form",15000,86
"F-diffusion","Function","Closed form",30000,50
"F-diffusion","Function","Closed form",150,49
"F-diffusion","Function","Closed form",1500,43
"F-diffusion","Function","Closed form",4500,83
"F-diffusion","Function","Closed form",15000,99
"F-diffusion","Function","Closed form",30000,56
"F-diffusion","Function","Closed form",150,42
"F-diffusion","Function","Closed form",1500,62
"F-diffusion","Function","Closed form",4500,61
"F-diffusion","Function","Closed form",15000,71
"F-diffusion","Function","Closed form",30000,49
"F-diffusion","Function","Closed form",150,46
"F-diffusion","Function","Closed form",1500,81
"F-diffusion","Function","Closed form",4500,57
"F-diffusion","Function","Closed form",15000,70
"F-diffusion","Function","Closed form",30000,63
"F-diffusion","Function","Closed form",150,52
"F-diffusion","Function","Closed form",1500,49
"F-diffusion","Function","Closed form",4500,57
"F-diffusion","Function","Closed form",15000,82
"F-diffusion","Function","Closed form",30000,64
"F-diffusion","Function","Closed form",150,43
"F-diffusion","Function","Closed form",1500,66
"F-diffusion","Function","Closed form",4500,48
"F-diffusion","Function","Closed form",15000,70
