"Model","N","Parameter","nu","ARE"
"Additive",396,"nu","0.75",0.189376513859864
"Additive",396,"nu","0.9",0.172433699645039
"Additive",396,"nu","1",0.174887041307928
"Additive",396,"nu","1.11",0.138473599950051
"Additive",396,"nu","1.33",0.145897822198922
"Additive",660,"nu","0.75",0.150663205275787
"Additive",660,"nu","0.9",0.136030614305283
"Additive",660,"nu","1",0.105673961424552
"Additive",660,"nu","1.11",0.10149037045357
"Additive",660,"nu","1.33",0.0908113552195676
"Additive",3300,"nu","0.75",0.177290052219049
"Additive",3300,"nu","0.9",0.111111111111111
"Additive",3300,"nu","1",0.044022846827794
"Additive",3300,"nu","1.11",0.1
"Additive",3300,"nu","1.33",0.109210383237554
"Additive",6600,"nu","0.75",0.155311773071041
"Additive",6600,"nu","0.9",0.111111111111111
"Additive",6600,"nu","1",0.0474004535411376
"Additive",6600,"nu","1.11",0.0999999999999999
"Additive",6600,"nu","1.33",0.150843437667494
"Additive",13200,"nu","0.75",0.196319698208977
"Additive",13200,"nu","0.9",0.111111111111111
"Additive",13200,"nu","1",0.112056661863005
"Additive",13200,"nu","1.11",0.0999999999999998
"Additive",13200,"nu","1.33",0.157467501389866
"t-diffusion",396,"nu","0.75",0.153052571178884
"t-diffusion",396,"nu","0.9",0.154786070112507
"t-diffusion",396,"nu","1",0.117198976343574
"t-diffusion",396,"nu","1.11",0.114200953167294
"t-diffusion",396,"nu","1.33",0.23091207167555
"t-diffusion",660,"nu","0.75",0.162453140566635
"t-diffusion",660,"nu","0.9",0.165029130404108
"t-diffusion",660,"nu","1",0.207433855391472
"t-diffusion",660,"nu","1.11",0.206396140008616
"t-diffusion",660,"nu","1.33",0.184850579695387
"t-diffusion",3300,"nu","0.75",0.190555435991135
"t-diffusion",3300,"nu","0.9",0.281865465758363
"t-diffusion",3300,"nu","1",0.278256439041243
"t-diffusion",3300,"nu","1.11",0.277043119590849
"t-diffusion",3300,"nu","1.33",0.316850690639054
"t-diffusion",6600,"nu","0.75",0.180774338578211
"t-diffusion",6600,"nu","0.9",0.221963079289196
"t-diffusion",6600,"nu","1",0.245777173568806
"t-diffusion",6600,"nu","1.11",0.235435041315203
"t-diffusion",6600,"nu","1.33",0.230540488925818
"t-diffusion",13200,"nu","0.75",0.178170732034905
"t-diffusion",13200,"nu","0.9",0.318885028775251
"t-diffusion",13200,"nu","1",0.23740708070938
"t-diffusion",13200,"nu","1.11",0.321729341479741
"t-diffusion",13200,"nu","1.33",0.235591171907319
"Additive",396,"tau","0.75",0.0199293122124082
"Additive",396,"tau","0.9",0.0126277004676163
"Additive",396,"tau","1",0.0249045743371962
"Additive",396,"tau","1.11",0.0176723120473632
"Additive",396,"tau","1.33",0.0534230494544809
"Additive",660,"tau","0.75",0.0138286080223787
"Additive",660,"tau","0.9",0.0124980701327576
"Additive",660,"tau","1",0.0239467730953948
"Additive",660,"tau","1.11",0.0326072173386765
"Additive",660,"tau","1.33",0.063492616924777
"Additive",3300,"tau","0.75",0.0142896860100112
"Additive",3300,"tau","0.9",0.0255587882129475
"Additive",3300,"tau","1",0.0186534752722755
"Additive",3300,"tau","1.11",0.0267873876495287
"Additive",3300,"tau","1.33",0.0441884954520454
"Additive",6600,"tau","0.75",0.00786148731198725
"Additive",6600,"tau","0.9",0.0245058579101028
"Additive",6600,"tau","1",0.0209798669209703
"Additive",6600,"tau","1.11",0.0210442172130569
"Additive",6600,"tau","1.33",0.0386973805731213
"Additive",13200,"tau","0.75",0.0171483363513311
"Additive",13200,"tau","0.9",0.0227795380633323
"Additive",13200,"tau","1",0.0232403537858635
"Additive",13200,"tau","1.11",0.0307231095722341
"Additive",13200,"tau","1.33",0.0567350289346765
"t-diffusion",396,"tau","0.75",0.00252497297579244
"t-diffusion",396,"tau","0.9",0.00252520554315654
"t-diffusion",396,"tau","1",0.0153279946612061
"t-diffusion",396,"tau","1.11",0.0304894042387823
"t-diffusion",396,"tau","1.33",0.0592292989847154
"t-diffusion",660,"tau","0.75",0.00796117684334346
"t-diffusion",660,"tau","0.9",0.0308724770338668
"t-diffusion",660,"tau","1",0.0689356493862906
"t-diffusion",660,"tau","1.11",0.083684398095052
"t-diffusion",660,"tau","1.33",0.132670626069947
"t-diffusion",3300,"tau","0.75",0.00816993498511231
"t-diffusion",3300,"tau","0.9",0.0522265316495337
"t-diffusion",3300,"tau","1",0.0504452317967186
"t-diffusion",3300,"tau","1.11",0.0843267883554458
"t-diffusion",3300,"tau","1.33",0.122886213203251
"t-diffusion",6600,"tau","0.75",0.00190343294372666
"t-diffusion",6600,"tau","0.9",0.0282682787898396
"t-diffusion",6600,"tau","1",0.0572735536957117
"t-diffusion",6600,"tau","1.11",0.105743571922055
"t-diffusion",6600,"tau","1.33",0.098324292281837
"t-diffusion",13200,"tau","0.75",0.012803389138889
"t-diffusion",13200,"tau","0.9",0.0587949679773193
"t-diffusion",13200,"tau","1",0.0576558921933028
"t-diffusion",13200,"tau","1.11",0.114140802822062
"t-diffusion",13200,"tau","1.33",0.150020086472953
"Additive",396,"A","0.75",0.289361838311164
"Additive",396,"A","0.9",0.235560488515
"Additive",396,"A","1",0.200864205347056
"Additive",396,"A","1.11",0.321356893608334
"Additive",396,"A","1.33",0.295655625408153
"Additive",660,"A","0.75",0.128386321847814
"Additive",660,"A","0.9",0.169728863928813
"Additive",660,"A","1",0.227096131519556
"Additive",660,"A","1.11",0.131268377409442
"Additive",660,"A","1.33",0.191173528103749
"Additive",3300,"A","0.75",0.151544934203755
"Additive",3300,"A","0.9",0.11160419774941
"Additive",3300,"A","1",0.117785481475361
"Additive",3300,"A","1.11",0.0970531128913284
"Additive",3300,"A","1.33",0.106369626984883
"Additive",6600,"A","0.75",0.127160502450304
"Additive",6600,"A","0.9",0.101326292495301
"Additive",6600,"A","1",0.119030308737813
"Additive",6600,"A","1.11",0.0848365216792723
"Additive",6600,"A","1.33",0.0874230477625299
"Additive",13200,"A","0.75",0.0935984640125103
"Additive",13200,"A","0.9",0.0822307633236048
"Additive",13200,"A","1",0.0985438280396766
"Additive",13200,"A","1.11",0.0959394354549369
"Additive",13200,"A","1.33",0.0933193037089768
"t-diffusion",396,"A","0.75",0.355648713472067
"t-diffusion",396,"A","0.9",0.357532065746729
"t-diffusion",396,"A","1",0.287256985873069
"t-diffusion",396,"A","1.11",0.39044831692166
"t-diffusion",396,"A","1.33",0.373165855136205
"t-diffusion",660,"A","0.75",0.212416653139819
"t-diffusion",660,"A","0.9",0.253955874903347
"t-diffusion",660,"A","1",0.305706716163404
"t-diffusion",660,"A","1.11",0.320889846325084
"t-diffusion",660,"A","1.33",0.26712418553128
"t-diffusion",3300,"A","0.75",0.236233272272753
"t-diffusion",3300,"A","0.9",0.32135181649012
"t-diffusion",3300,"A","1",0.318863058843651
"t-diffusion",3300,"A","1.11",0.35141758040282
"t-diffusion",3300,"A","1.33",0.370123195980794
"t-diffusion",6600,"A","0.75",0.260652579500048
"t-diffusion",6600,"A","0.9",0.312055857581584
"t-diffusion",6600,"A","1",0.306506977501465
"t-diffusion",6600,"A","1.11",0.337473992306832
"t-diffusion",6600,"A","1.33",0.387919883953838
"t-diffusion",13200,"A","0.75",0.168181168450258
"t-diffusion",13200,"A","0.9",0.335032615760243
"t-diffusion",13200,"A","1",0.383852040658801
"t-diffusion",13200,"A","1.11",0.384243897992116
"t-diffusion",13200,"A","1.33",0.379410785499824
